train_pred,test_pred
668.8576445333052,603.3597187377832
549.9605602544732,530.4205045671912
651.0388636415076,671.1215560687667
655.9346794935576,674.0741607096202
637.0478535937619,658.7349713895592
643.410990027839,617.6012513353364
652.0733861067608,640.1146540090974
611.3012643209933,571.2453368944879
587.5008710748722,674.5730840705528
569.0965501453419,587.4275897621457
653.0681220110885,651.0785034240836
607.2803628676777,559.7692328711479
626.5571225925077,648.9877730160574
659.8035972615163,540.3264322918667
631.9765146184479,659.0066102171824
630.2105568017207,627.7383565512032
630.8074402586922,614.4409900364942
625.3080937994937,643.3805837766903
639.5014697521431,649.4506304203114
538.641098053416,586.0269985526245
543.8114511437352,537.2104906045475
676.6854825565604,665.2769343680754
654.9057862717119,597.9929598466313
671.2248466944366,594.5688420253683
608.2820027163679,621.962806174537
631.1066083695694,653.1960670277715
673.5517892964073,674.2536297267238
628.5300508431404,644.2203930404481
625.4955442436881,606.9233471097402
615.0710214604869,588.0179174954252
627.4198034184545,665.3790775213798
663.1673281273593,652.6580221135521
595.4376184699587,639.5250348254895
536.5722093537729,644.925542788953
554.413205390138,600.7963982281574
657.0854801039147,642.6124341362614
634.2634288442631,555.0944444218718
651.976363064998,623.1192720506658
674.5056780153149,636.0331810921239
562.693514221061,574.3598349783244
572.8908309657983,626.1720246546522
636.7670955129955,643.1552597983612
553.7819761933384,661.5198040136344
617.5795226271982,633.0181386925783
601.9660801285028,599.0257325716809
658.9761072114517,599.3937987415823
619.213156690329,665.1306271961415
633.6942168718602,639.2303407001672
597.8283235243089,607.0124011952813
654.529242820241,604.0513699002684
592.3314979878882,647.0902368765567
657.849145438443,548.4914891250676
632.7200577519371,616.980627231653
581.748357023378,608.192168597088
567.4079977492408,630.6978773020663
661.3355898393087,557.0068876757516
638.9697770968795,604.038791187895
542.1002182268885,643.59162051703
652.261564534127,614.6519895370063
676.469679779626,644.696066096118
629.7407626058541,600.126800140373
626.92106051282,658.3806026403175
559.4514614892973,650.0786095348234
615.1451829273836,642.2323430023357
617.142646250593,552.8371918466806
587.5381996950554,622.8198086338654
626.9817315031453,612.4552841796951
645.3160520633965,527.540846807967
662.4534430068492,648.5557293924845
627.5721139345635,621.6195450444214
603.4503585806708,624.8455824101926
600.474747034249,633.2232317933929
593.957673642128,603.5476079730395
607.923422588484,631.0026714857238
654.9982132588584,601.4931403177713
675.8931178896316,516.7780004908009
672.3128347770113,629.5062343519683
617.5548228516146,631.1468648067822
565.2510073923397,612.5975641927578
638.2827110427256,618.7439646704041
653.0844863561003,564.6878968799754
604.769126940275,648.5520778444802
578.2456958029906,621.6010903523554
624.9252198053207,634.116542758044
652.0078968002081,600.9262171914095
656.2053633006491,653.6808584679227
606.3729170030322,551.5814345361182
582.0321495625465,647.8948891251335
571.4192778319637,640.8768846896794
652.0576329805795,643.5097613877945
651.6562473275794,611.1120214027964
614.4007562480222,644.1012256247461
657.3900173974735,661.9516118392514
631.771534913008,593.2178204136953
615.5802259544425,603.6610995497082
606.6119688570531,578.5360157659454
655.7305933166449,549.3850881327332
534.9793341602857,643.8799845450943
657.5816799432275,538.1593797853814
642.8624109087995,664.761779265785
650.2457853382056,568.0011412555432
643.2494516168152,642.774164617726
507.22915068083194,579.2080002209624
585.8546148948489,527.7839678465758
665.6993700755932,675.5603503523203
616.1692437658689,644.7201795312848
659.3915535201381,652.7660919947492
578.3385242759568,635.1163866286106
669.6518571793737,630.066356276828
554.384155577928,579.695928014575
599.578818768389,621.5748510519927
582.4313005669399,638.5648268936212
595.7758296622712,611.110300446799
629.8204600332659,627.3857628813929
542.7416204802944,640.2526445948114
653.380493731089,640.1850589849341
590.8063813929355,572.5499181493226
623.3032502417209,651.1142265015967
516.057765793631,658.6326100384837
563.3077064211451,666.5944056976753
651.194895389691,656.0311130442194
633.1451239026129,620.1009335268816
614.1938994729915,610.3445640312533
616.9996039948778,659.1149628615364
616.8722893684723,543.1316919293055
621.4177498410298,603.7193984849961
666.9675820760497,648.8875993821537
594.1161795731366,649.8799003669552
567.7854325963631,613.4401899541738
638.9120853613637,659.5403978828774
645.3027571745804,634.2139691228448
676.6411072984658,672.0017722745118
652.9500784501001,644.5859777650401
633.880212889949,659.6305543919483
654.197890982718,643.9729931532972
578.6951444617907,527.4219104914054
668.7021669333599,630.332637764215
634.897735518236,628.6614414294069
642.7619354649465,590.6852181991346
654.5847095471395,603.6422231543025
651.3593310028215,564.2214056531252
634.4308332657121,615.5132025318762
559.8081874657297,570.9455503105962
624.6410118246782,600.9153435413375
666.893896629817,648.6463106157005
628.0287266995068,639.2672892165076
642.9198469059576,600.1083665002318
640.5733857148045,619.6353052321398
643.8621139258087,568.0200767133595
645.0328467179696,644.105303836184
555.1297627740197,607.1629737650769
581.2663677805507,640.2386390886045
624.5208018986473,601.3344935322144
625.1508078910034,679.9875366887077
592.5319333814085,590.9531339267124
623.5830054084902,592.6812323020807
625.7614650527078,626.6525797537381
644.1106233067412,652.0108975485489
657.7280018223181,582.9436591473984
653.1499933725188,646.8694118191427
526.8670707446424,644.5566001087341
641.4187568289698,649.6879312194612
617.6620908135282,648.7978778386145
633.1201383115573,518.2071627023622
