train_pred,test_pred
669.1671931634626,603.7453910179725
547.4833259724695,529.6841155089694
652.1319718394916,671.2378271857804
656.6742302746542,674.0018340463446
637.2312042952423,658.9995371450266
644.4031052091541,616.5674039895564
652.5621968416418,640.4024176668303
611.3060822966964,570.84667226988
588.9357090770902,675.0936079013254
569.1540208133073,586.5619157553209
653.4383203957285,651.1067262946734
608.0069217147827,559.8457400933265
626.4155913129425,648.8763707426502
658.4704598722349,540.6265892990023
631.5891700108293,659.0341868708392
630.1190295876195,626.675904330589
631.1707889758229,615.0068760067179
625.732525696681,643.4198935134975
638.6390157312997,649.6118798579803
539.2040408945991,585.6947814581779
543.8240912482206,538.0193808957094
677.2877455697883,665.1458919776984
655.1738456966827,597.8278870937024
670.4523293124245,594.2080108892782
608.0507658984266,622.3736976285116
629.3977300825954,653.8037339976236
673.925658597163,673.7085718904855
630.6797614813032,644.1435606477912
625.6374178908825,607.2195635928258
615.9880784185729,586.558195345083
626.8531350411677,665.4598231322204
663.3591417105104,652.1239808990306
596.3824484794169,639.4079182164882
534.8292550283087,645.0774771716467
553.9493964670208,600.2096059530418
656.7049268474558,642.516745093935
634.7130918248358,555.1961215825221
652.8800197655679,623.2944015722037
675.3212099409195,636.1988365600475
561.562371482276,574.4775952575062
570.1662126233356,626.2121719885757
635.7215077094978,643.1878719519702
555.2114163357203,661.2139288909866
617.4927114513022,632.2153648159641
600.7758849923755,599.4241035811913
657.9463171295703,600.1243258239408
620.2106905265082,664.958026685864
634.8195416378676,639.281661905334
597.6520251148112,606.775329606328
653.4896002619851,603.8516175219936
592.0243636781843,647.4198441880815
658.6523658280848,547.1847459098192
632.0121709746252,617.1843302961678
583.78153443607,608.0353062758057
565.6263171456102,631.2703453259783
661.4567383077457,559.122341911632
638.2353098844594,603.4141713073172
539.6957242217976,643.4036952056547
653.2355640282275,614.44508822171
677.8632188492606,644.5107736378299
629.486208304332,600.150102071101
627.0514722325677,657.9840958290076
560.1699804588342,649.7790173479176
615.1240306666027,642.3737666796326
616.0984789287045,553.2362157838292
587.3321901729155,622.9573705385668
625.1958157970436,612.4199534513573
646.2724453910643,527.1453987378438
662.5755790466197,648.6210401994815
628.307219204149,621.8592840176364
603.0682992104242,624.9917134724288
601.8482449441974,633.1577287577996
595.0008493166966,603.2127974414099
607.7978172547987,630.6777979482008
654.9748921745817,599.6100979485548
677.2288043917192,517.0347104299445
671.7334092933046,628.7412041264436
